label,page,subpage,col,row
6,837,1,3,11
6,837,1,3,12
6,837,1,3,13
6,837,1,3,14
6,837,1,3,15
6,837,1,3,16
6,837,1,3,17
6,837,1,3,18
6,837,1,3,19
6,837,1,3,20
6,837,1,3,21
6,837,1,3,22
6,837,1,3,23
6,837,1,3,24
6,837,1,3,25
6,837,1,3,26
6,837,1,3,27
6,837,1,3,28
6,837,1,3,29
6,837,1,3,30
0,837,1,3,31
6,837,1,3,32
6,837,1,3,33
6,837,1,3,34
6,837,1,3,35
6,837,1,3,36
6,837,1,3,37
6,837,1,3,38
6,837,1,3,39
6,837,1,3,40
6,837,1,3,41
6,837,1,3,42
6,837,1,3,43
6,837,1,3,44
6,837,1,3,45
0,837,1,3,46
6,837,1,3,47
6,837,1,3,48
6,837,1,3,49
6,837,1,3,50
6,837,1,3,51
6,837,1,3,52
6,837,1,3,53
6,837,1,3,54
6,837,1,3,55
6,837,1,3,56
6,837,1,3,57
6,837,1,3,58
6,837,1,3,59
6,837,1,3,60
6,837,1,3,61
0,837,1,3,62
0,837,1,4,1
6,837,1,4,2
6,837,1,4,3
6,837,1,4,4
6,837,1,4,5
6,837,1,4,6
6,837,1,4,7
6,837,1,4,8
6,837,1,4,9
6,837,1,4,10
6,837,1,4,11
6,837,1,4,12
6,837,1,4,13
6,837,1,4,14
6,837,1,4,15
6,837,1,4,16
6,837,1,4,17
6,837,1,4,18
0,837,1,4,19
6,837,1,4,20
6,837,1,4,21
0,837,1,4,22
6,837,1,4,23
6,837,1,4,24
6,837,1,4,25
6,837,1,4,26
6,837,1,4,27
6,837,1,4,28
6,837,1,4,29
6,837,1,4,30
6,837,1,4,31
6,837,1,4,32
6,837,1,4,33
6,837,1,4,34
0,837,1,4,35
6,837,1,4,36
6,837,1,4,37
6,837,1,4,38
6,837,1,4,39
6,837,1,4,40
6,837,1,4,41
6,837,1,4,42
6,837,1,4,43
6,837,1,4,44
6,837,1,4,45
6,837,1,4,46
6,837,1,4,47
6,837,1,4,48
6,837,1,4,49
6,837,1,4,50
6,837,1,4,51
6,837,1,4,52
6,837,1,4,53
6,837,1,4,54
6,837,1,4,55
6,837,1,4,56
6,837,1,4,57
6,837,1,4,58
6,837,1,4,59
6,837,1,4,60
0,837,1,4,61
1,837,1,5,1
0,837,1,5,2
6,837,1,5,3
6,837,1,5,4
0,837,1,5,5
2,837,1,5,6
0,837,1,5,7
3,837,1,5,8
3,837,1,5,9
3,837,1,5,10
5,837,1,5,11
5,837,1,5,12
5,837,1,5,13
5,837,1,5,14
5,837,1,5,15
5,837,1,5,16
5,837,1,5,17
4,837,1,5,18
5,837,1,5,19
5,837,1,5,20
4,837,1,5,21
4,837,1,5,22
4,837,1,5,23
4,837,1,5,24
5,837,1,5,25
4,837,1,5,26
5,837,1,5,27
5,837,1,5,28
4,837,1,5,29
4,837,1,5,30
5,837,1,5,31
5,837,1,5,32
4,837,1,5,33
4,837,1,5,34
5,837,1,5,35
5,837,1,5,36
5,837,1,5,37
4,837,1,5,38
5,837,1,5,39
5,837,1,5,40
4,837,1,5,41
5,837,1,5,42
5,837,1,5,43
5,837,1,5,44
5,837,1,5,45
4,837,1,5,46
5,837,1,5,47
5,837,1,5,48
4,837,1,5,49
6,837,1,5,50
6,837,1,5,51
6,837,1,5,52
6,837,1,5,53
6,837,1,5,54
0,837,1,5,55
6,837,1,5,56
6,837,1,5,57
0,837,1,5,58
2,837,1,5,59
2,837,1,5,60
0,837,1,5,61
3,837,1,5,62
3,837,1,5,63
4,837,1,5,64
4,837,1,5,65
5,837,1,5,66
5,837,1,5,67
4,837,1,5,68
4,837,1,5,69
4,837,1,5,70
4,837,1,5,71
5,837,1,5,72
4,837,1,5,73
5,837,1,5,74
5,837,1,5,75
5,837,1,5,76
4,837,1,5,77
4,837,1,5,78
5,837,1,5,79
0,837,1,5,80
